Date: 26/02/2016 22:22:58
Measurement: 2016-02-25 16:18:44
Row	Column	wellID	Measurement	#Lymphocytes	Single cells(%)	CD14+cells(%)	P8 high(%)	P8+ Median Signal
1	1	A01	2016-02-25 16:18:44	73084	96.2276284822943	6.50816898204104	9.34748250169338	70978.2678395575
1	2	A02	2016-02-25 16:20:03	67997	97.3248819800874	7.04614826679561	50.5019642077695	180375.817583723
1	3	A03	2016-02-25 16:21:35	71513	97.745864388293	8.15582037452969	32.9188132883283	132086.248626294
1	4	A04	2016-02-25 16:23:08	70693	97.4198294031941	8.15025628366899	29.100145137881	124964.16141703
1	5	A05	2016-02-25 16:24:37	71315	97.3567973077193	7.15252772576696	19.8188927762914	113102.240227231
1	6	A06	2016-02-25 16:26:12	71483	97.0440524320468	7.16592186824276	14.8482362592289	99998.8798904014
1	7	A07	2016-02-25 16:27:57	66464	97.4647929706307	8.54597940690656	7.5	85235.9485976811
1	8	A08	2016-02-25 16:30:07	69787	96.900568873859	6.15461966165858	3.24498389893485	61611.1911192057
1	9	A09	2016-02-25 16:32:04	70552	97.702403900669	3.75302839070955	2.4622030237581	49556.1256144797
1	10	A10	2016-02-25 16:34:06	71999	97.3819080820567	3.47719428359529	2.8519692168402	52685.4685480799
1	11	A11	2016-02-25 16:36:06	75617	96.8446248859383	4.72204394313883	2.75229357798165	51647.9347957169
1	12	A12	2016-02-25 16:38:18	70543	96.9536311186085	4.51209170395064	61.0885733603786	230384.788479961
2	1	B01	2016-02-25 16:39:44	43715	97.6712798810477	3.9276764175469	3.44387755102041	56842.2542289633
2	2	B02	2016-02-25 16:44:13	76454	96.7522954979465	9.37935136742778	47.8618662747979	169622.15221562
2	3	B03	2016-02-25 16:45:28	80939	96.9124896527014	9.77434982151963	20.114255347416	98176.7576771971
2	4	B04	2016-02-25 16:46:53	70657	97.8218718598299	11.3241123875112	15.792187701431	98046.5746594979
2	5	B05	2016-02-25 16:49:30	67715	97.5071992911467	11.3529313765581	5.61675506595947	71727.7527765187
2	6	B06	2016-02-25 16:52:14	57766	97.1644219783264	12.4590222348917	10.7529989882931	94613.8013800722
2	7	B07	2016-02-25 16:55:02	51995	96.7362246369843	14.3942105053879	4.35879467414156	67389.4489460897
2	8	B08	2016-02-25 16:57:47	44673	97.6048172274081	6.8229250280944	2.40229472929365	50928.5728583133
2	9	B09	2016-02-25 17:00:31	61753	97.7248068919729	4.02995956783986	2.20450281425891	47125.7275735884
2	10	B10	2016-02-25 17:03:15	57151	97.9002992073629	4.13754892673947	1.14345114345114	39744.6344650143
2	11	B11	2016-02-25 17:05:59	78869	96.8758320759741	4.54027877756691	2.47154471544715	46317.5217527323
2	12	B12	2016-02-25 17:08:11	64834	97.9933368294413	4.82111658508177	49.4431319608505	176472.777280099
3	1	C01	2016-02-25 17:09:48	34247	97.4362717902298	5.58901974886871	2.41109101868596	46929.6029609304
3	2	C02	2016-02-25 17:12:32	67070	97.3564932160429	7.36940441367904	14.9746192893401	95865.5365565739
3	3	C03	2016-02-25 17:14:29	72277	96.5009615783721	9.2948901760624	5.00860854593833	72126.9026939473
3	4	C04	2016-02-25 17:16:18	50132	97.2093672704061	10.0753083126424	2.49790092359362	59502.4552479768
3	5	C05	2016-02-25 17:19:02	40656	97.6829988193625	5.13420959863021	1.79055887140532	47766.5266566397
3	6	C06	2016-02-25 17:21:46	42697	97.1473405625688	5.15682634586176	2.33669676048858	46086.1286131471
3	7	C07	2016-02-25 17:24:33	35340	97.2410865874363	5.12439982540375	2.86644951140065	44886.5386549042
3	8	C08	2016-02-25 17:27:18	31830	97.8730757147345	3.29342278432254	2.21483942414175	45651.4651483346
3	9	C09	2016-02-25 17:30:02	35688	97.4865501008743	4.3114598603087	1.65016501650165	39406.7756829938
3	10	C10	2016-02-25 17:32:47	27431	97.3205497429915	3.19148936170213	1.27840909090909	40474.1524163179
3	11	C11	2016-02-25 17:35:32	73201	96.4645291730987	4.21876991488819	2.00501253132832	40511.0661081881
3	12	C12	2016-02-25 17:38:17	63473	97.1373654939896	6.47625535227715	30.9938524590164	118540.459048339
4	1	D01	2016-02-25 17:40:19	25740	96.9347319347319	4.92164642699691	2.1759697256386	43844.3744403494
4	2	D02	2016-02-25 17:43:04	64900	96.1248073959938	6.66346076781278	5.13138324243927	65390.3440353455
4	3	D03	2016-02-25 17:45:17	58643	97.4916017256962	6.96494787658294	3.4411915767848	63234.6034626182
4	4	D04	2016-02-25 17:48:02	63846	96.5651724461987	8.57217004849723	2.13059775103571	54542.334236507
4	5	D05	2016-02-26 09:30:45	59932	96.8814656610826	5.90220966880802	1.80551156160912	49703.5703576245
4	6	D06	2016-02-26 09:32:20	42556	96.4258858915312	5.69757524064823	2.33754090696587	53167.6867692367
4	7	D07	2016-02-26 09:33:58	48031	97.4537278007953	4.24927362843958	2.61547022815804	50053.7653768429
4	8	D08	2016-02-26 09:35:33	35629	97.4739678351904	5.30968354977108	2.07677784770296	45415.6215628924
4	9	D09	2016-02-26 09:37:08	40160	97.7689243027888	3.7311532192339	2.27629513343799	45286.7686807724
4	10	D10	2016-02-26 09:38:44	25816	97.3388596219399	6.02889092283815	1.62412993039443	40211.2211227469
4	11	D11	2016-02-26 09:40:19	57099	96.5568573880453	4.30232347233055	2.62390670553936	45131.448145496
4	12	D12	2016-02-26 09:41:54	67194	97.7646813703604	5.06454362783901	54.0606803555011	193520.432044247
5	1	E01	2016-02-26 09:43:14	18517	97.9694334935465	6.23449644451794	60.8071748878924	223515.081510345
5	2	E02	2016-02-26 09:44:49	58527	97.1244041211748	6.56533671099852	44.8097826086957	159812.501254526
5	3	E03	2016-02-26 09:46:24	68949	96.7860302542459	9.0854599673325	8.249832999332	78309.5359552071
5	4	E04	2016-02-26 09:47:53	59430	97.1781928319031	10.4323584921995	3.52861725476954	64317.151715599
5	5	E05	2016-02-26 09:49:28	34391	96.5805007123957	10.3507451452657	3.5693215339233	69448.314834648
5	6	E06	2016-02-26 09:51:04	28262	96.5324463944519	9.00960340151015	3.05862361937128	54428.7928805429
5	7	E07	2016-02-26 09:52:40	31063	97.3827383060232	3.61652892561984	3.47567030784508	50081.3781381867
5	8	E08	2016-02-26 09:54:15	28046	97.7608215075234	3.72383105988767	2.99003322259136	46922.1822187049
5	9	E09	2016-02-26 09:55:50	30106	97.140104962466	4.55462472217473	2.39520958083832	44894.1794191092
5	10	E10	2016-02-26 09:57:26	14689	97.7602287425965	3.8091922005571	2.06185567010309	50929.7229755821
5	11	E11	2016-02-26 09:59:01	34098	96.4836647310693	5.49864737530016	2	44919.2669286476
5	12	E12	2016-02-26 10:00:37	38684	96.3499121083652	5.40888602704443	2.12765957446809	52360.6610679094
6	1	F01	2016-02-26 10:02:14	58150	96.8822012037833	8.19887462946199	33.9473684210526	132197.924794547
6	2	F02	2016-02-26 10:03:37	61834	97.228062231135	6.75981370592149	34.2177722152691	123819.271928559
6	3	F03	2016-02-26 10:05:09	70712	96.6017083380473	7.67102431597593	6.27785312923852	70944.1844201777
6	4	F04	2016-02-26 10:06:24	67149	97.2017453722319	8.04044737245289	4.54895913646877	71794.4294442826
6	5	F05	2016-02-26 10:07:44	67053	95.7511222465811	9.11781197433182	3.58822504790106	65112.2712297683
6	6	F06	2016-02-26 10:09:13	71231	94.6455897011133	6.89588679413204	3.36343115124154	58251.5951613079
6	7	F07	2016-02-26 10:10:44	72043	94.8031037019558	5.45103149387253	3.248670998228	52774.0524064332
6	8	F08	2016-02-26 10:12:21	64622	95.2415586023336	5.25939525890783	2.22301900322696	42623.312332061
6	9	F09	2016-02-26 10:13:57	66489	94.2667208109612	4.99385739585494	2.48138957816377	47956.6356661575
6	10	F10	2016-02-26 10:15:32	29592	96.1645039199784	3.91116421267175	1.94274028629857	44731.6581698347
6	11	F11	2016-02-26 10:17:08	42716	95.1470175110029	4.39682110080457	3.02056555269923	46494.66946801
6	12	F12	2016-02-26 10:18:44	39914	95.2497870421406	5.46583197432795	2.79683377308707	47878.1678174219
7	1	G01	2016-02-26 10:20:21	18003	98.1558629117369	7.11334955576934	50.3215434083601	178933.583359406
7	2	G02	2016-02-26 10:21:57	62366	95.5921495686752	9.69689853565258	5.58875219683656	72113.3513376926
7	3	G03	2016-02-26 10:23:31	70379	93.9584250983958	11.4960606106432	3.27868852459016	58997.399741779
7	4	G04	2016-02-26 10:24:45	69790	95.0565983665281	6.22098281579741	2.71387955544068	53710.301031069
7	5	G05	2016-02-26 10:26:14	74161	93.7837947168997	6.03298299089877	2.44426537738383	47636.3636379413
7	6	G06	2016-02-26 10:27:44	73141	93.6615578129913	5.97036712648712	2.57252326217843	47898.579864079
7	7	G07	2016-02-26 10:29:17	78502	93.5479350844564	6.74591827008184	2.81359906213365	45632.6832699825
7	8	G08	2016-02-26 10:30:51	29972	95.0320298945683	4.08664817610504	1.9	45574.9725038791
7	9	G09	2016-02-26 10:32:28	22823	94.5493581036674	4.15681912970944	2.32558139534884	43708.1408146912
7	10	G10	2016-02-26 10:34:03	13283	97.4026951742829	3.71773071572113	1.28205128205128	41206.9906996982
7	11	G11	2016-02-26 10:35:39	38961	94.8153281486615	5.68203351289895	2.33062330623306	46687.4987532518
7	12	G12	2016-02-26 10:37:14	25857	93.251343930077	6.98407431984074	3.50541746335245	52410.2510264326
8	1	H01	2016-02-26 10:38:51	71217	97.0400325764916	6.24231286807796	16.4158043273754	85829.347939755
8	2	H02	2016-02-26 10:40:15	52168	95.8154424168072	8.93668100430129	5.26674233825199	73130.703071368
8	3	H03	2016-02-26 10:41:50	52457	95.7260232190175	7.47585382853729	5.33261513600862	74763.7763796531
8	4	H04	2016-02-26 10:43:25	67316	94.638718878127	7.35554962562984	2.8476084538376	56615.4815495528
8	5	H05	2016-02-26 10:44:58	72380	93.6888643271622	5.80870642364183	2.67558528428094	50924.0974105867
8	6	H06	2016-02-26 10:46:29	60233	94.0398120631548	6.42268241442014	2.43316311204566	49403.2503263891
8	7	H07	2016-02-26 10:48:04	60778	94.0027641580835	6.53737769765285	2.45040840140023	52213.4113447017
8	8	H08	2016-02-26 10:49:40	43512	93.8844456701599	5.19938312403613	2.05405405405405	44357.6607674647
8	9	H09	2016-02-26 10:51:15	69780	93.7589567211235	5.32365303782958	2.63244488318526	47005.3205372134
8	10	H10	2016-02-26 10:52:48	21838	95.8283725615899	4.85975056147561	1.63551401869159	42521.182118873
8	11	H11	2016-02-26 10:54:24	23264	94.5108321870702	5.77159230454359	3.02506482281763	53174.997501203
8	12	H12	2016-02-26 10:55:59	24759	92.4391130498001	11.7140734915017	2.32009437672041	53078.4778484493
Total: 96 lines
